"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Image","https://www.minesparis.psl.eu/Recherche/Chaires-industrielles/Chaire-Phenix/","https://www.minesparis.psl.eu/Donnees/data37/3702-Photo-PhA-nix.jpg","260297","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Modalites-de-candidature/","https://www.minesparis.psl.eu/Donnees/data11/1173-1160-7Mines-scolarite-2008125.jpg","104780","Faire son PhD à Mines Paris - PSL.","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Masteres-Specialises/Carrieres-et-emplois/","https://www.minesparis.psl.eu/Donnees/data09/952-535-MINESPARIS0117.jpg","152310","88% des étudiants de Mastère spécialisé se déclarent satisfaits de la formation reçue.","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Centres-de-recherche-et-Instituts/Centre-de-geosciences-GEOSCIENCES/","https://www.minesparis.psl.eu/Donnees/data03/341-1.-GEOSCIENCES.jpg","159017","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Ecole/Prix-Recompenses/Prix-scientifiques/","https://www.minesparis.psl.eu/Donnees/data24/2405-A-Hatchuel-fellow-DS.jpg","76786","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/table/tr[10]/td[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=Dernieres-videos&cat=DEDEDE","https://i.ytimg.com/vi/5NgCz-ijgPE/hqdefault.jpg","31137","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][2]/div[@class='video'][9]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Centres-de-recherche-et-Instituts/Centre-de-mise-en-forme-des-materiaux-CEMEF/","https://www.minesparis.psl.eu/Donnees/data05/527-4.-CEMEF-2.png","24049","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='centre']/div[@id='page']/p[5]/a/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Domaines-de-recherche/Mathematiques-et-systemes/","https://i.ytimg.com/vi/zOc6rnbHQnM/hqdefault.jpg","38100","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[5]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV/&?title=mathematiques_systemes&cat=PL43EF59A41F938C77","https://i.ytimg.com/vi/zOc6rnbHQnM/hqdefault.jpg","38100","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][1]/div[@class='video'][5]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/WebTV//&?titre=&cat=PL43EF59A41F938C77","https://i.ytimg.com/vi/zOc6rnbHQnM/hqdefault.jpg","38100","Vidéo","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@id='page']/div/div/div/div[@class='panneau'][1]/div[@class='video'][5]/div/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Formation-continue/Presentation/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Actualites/&?id=4723","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='droite']/div[@class='module'][2]/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Ecole/Culture-scientifique/Bibliotheque/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Propositions-de-sujets-de-these/Detail/&?id=44314","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Chaires-industrielles/Internet-physique/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Centres-de-recherche-et-Instituts/Centre-de-sociologie-de-l-innovation-CSI/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Formation/Doctorat/Presentation/Specialites-Doctorales/Detail/&?id=1641","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[1]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Chaires-industrielles/Theorie-de-l-entreprise/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
"Image","https://www.minesparis.psl.eu/Recherche/Chaires-industrielles/Chaire-MINAUMET/","https://i.ytimg.com/vi/NmhoF4zZ6ag/hqdefault.jpg","14804","","","200","OK","true","","","Absolute","//body/div[@id='corps']/div[@id='gauche']/div[@class='module']/div/div/div[2]/img","Contenu","HTML"
